source_id,source_class,author_org,title,date,finding_used,v7_design_implication,limitation,url
S20,Peer-reviewed benchmark,Zhou et al.,WebArena,2024,Realistic web tasks expose large end-to-end reliability gaps,Do not equate tool access with reliable completion; test end to end,Older baseline models; environment is simulated,https://proceedings.iclr.cc/paper_files/paper/2024/hash/4410c0711e9154a7a2d26f9b3816d1ef-Abstract-Conference.html
S21,Peer-reviewed research,Ruan et al.,ToolEmu,2024,Tool-emulated sandboxes can surface realistic high-stakes agent failures at scale,Sandbox risky agent designs before real integration,Automatic evaluator has imperfect validity,https://proceedings.iclr.cc/paper_files/paper/2024/hash/7274ed909a312d4d869cc328ad1c5f04-Abstract-Conference.html
S22,Peer-reviewed benchmark,Mialon et al.,GAIA,2024,Simple human tasks requiring tools and browsing can remain hard for assistants,"Use realistic end-to-end task success, not component claims",Older systems and general benchmark,https://proceedings.iclr.cc/paper_files/paper/2024/hash/25ae35b5b1738d80f1f03a8713e405ec-Abstract-Conference.html
S23,Peer-reviewed research,Niu et al.,RAGTruth,2024,RAG can still produce unsupported or contradictory content,Evaluate Knowledge faithfulness separately from retrieval,Dataset tasks differ from MyGPT building,https://aclanthology.org/2024.acl-long.585/
S24,Peer-reviewed research,Es et al.,RAGAs,2024,"RAG evaluation should separate context relevance, faithfulness, and answer quality",Separate retrieval and generation dimensions,Automated metrics need validation,https://aclanthology.org/2024.eacl-demo.16/
S25,Peer-reviewed research,Saad-Falcon et al.,ARES,2024,Few human labels can calibrate automated RAG evaluation across components,Use human calibration with automated graders,Requires evaluation setup and annotations,https://aclanthology.org/2024.naacl-long.20/
S26,Peer-reviewed research,Wen et al.,Know Your Limits: Abstention in LLMs,2025,Selective abstention is a core reliability mechanism with task/value tradeoffs,Use missing-evidence downgrade and recommendation abstention,Survey; implementation must be tested,https://aclanthology.org/2025.tacl-1.26/
S27,Peer-reviewed research,Zhang and Choi,Clarify When Necessary,2025,Clarification value depends on intent uncertainty and user speed/carefulness tradeoff,Ask only decision-changing questions; test missed vs unnecessary questions,Research tasks differ from GPT architecture dialogue,https://aclanthology.org/2025.findings-naacl.306/
S28,Peer-reviewed benchmark,Sun et al.,Benchmark contamination mitigation study,2025,Many semantic benchmark-refresh strategies fail to balance fidelity and contamination resistance,Keep rotating private real prompts; do not trust cosmetic rewrites,Model benchmark contamination differs from prompt overfitting,https://proceedings.mlr.press/v267/sun25t.html
S29,Peer-reviewed benchmark,Bordt et al.,How Much Can We Forget about Data Contamination?,2025,Contamination effects vary with scale and training; simplistic assumptions are unsafe,Label holdout exposure and maintain fresh cases,Training-data contamination not identical to local prompt tuning,https://proceedings.mlr.press/v267/bordt25a.html
S30,Peer-reviewed research,Tamber et al.,Benchmarking LLM Faithfulness in RAG,2025,Faithfulness evaluators need diverse human-annotated examples and meta-evaluation,Human review and evolving faithfulness tests,Industry study; tool specifics may differ,https://aclanthology.org/2025.emnlp-industry.54/
